[05/26/22 02:52:59 INFO] Using GPU(s): 2
[05/26/22 02:52:59 WARNING] The caching CUDA memory allocator is enabled. This allocator improves performance at the cost of a higher GPU memory usage. To optimize for memory, consider disabling it by setting the environment variable: THC_CACHING_ALLOCATOR=0
[05/26/22 02:52:59 INFO] Training Sequence to Sequence with Attention model
[05/26/22 02:52:59 INFO] Loading data from '/workspace/data/NTS-train.t7'...
[05/26/22 02:53:11 INFO]  * vocabulary size: source = 50004; target = 50004
[05/26/22 02:53:11 INFO]  * additional features: source = 0; target = 0
[05/26/22 02:53:11 INFO]  * maximum sequence length: source = 80; target = 81
[05/26/22 02:53:11 INFO]  * number of training sentences: 282954
[05/26/22 02:53:11 INFO]  * 1147 batches, max size: 256 (even), avg size: 246.690497, capacity: 100%
[05/26/22 02:53:11 INFO] Building model...
[05/26/22 02:53:11 INFO]  * Encoder:
[05/26/22 02:53:12 INFO]    - with word embeddings size: 500
[05/26/22 02:53:12 INFO]    - Simple LSTM Encoder: 2 layers, rnn_size 500, dropout 0.3
[05/26/22 02:53:12 INFO]  * Decoder:
[05/26/22 02:53:13 INFO]    - with word embeddings size: 500
[05/26/22 02:53:14 INFO]    - Global Attention: general
[05/26/22 02:53:15 INFO] Initializing parameters...
[05/26/22 02:53:16 INFO] Network size: 50004x500
[05/26/22 02:53:16 INFO] Pre-trained embeddings size: 50004x500
[05/26/22 02:53:17 INFO] Network size: 50004x500
[05/26/22 02:53:17 INFO] Pre-trained embeddings size: 50004x500
[05/26/22 02:53:17 INFO]  * number of parameters: 84822004
[05/26/22 02:53:17 INFO] Preparing memory optimization...
[05/26/22 02:53:17 INFO]  * sharing 69% of output/gradInput tensors memory between clones
[05/26/22 02:53:17 INFO] Start training...
[05/26/22 02:53:17 INFO] 
[05/26/22 02:53:56 INFO] Epoch 1 ; Iteration 50/1147 ; Learning rate 1.0000 ; Source tokens/s 7550 ; Perplexity 85555.50
[05/26/22 02:54:21 INFO] Epoch 1 ; Iteration 100/1147 ; Learning rate 1.0000 ; Source tokens/s 12270 ; Perplexity 13182.25
[05/26/22 02:54:45 INFO] Epoch 1 ; Iteration 150/1147 ; Learning rate 1.0000 ; Source tokens/s 12160 ; Perplexity 5121.68
[05/26/22 02:55:13 INFO] Epoch 1 ; Iteration 200/1147 ; Learning rate 1.0000 ; Source tokens/s 13102 ; Perplexity 2275.63
[05/26/22 02:55:41 INFO] Epoch 1 ; Iteration 250/1147 ; Learning rate 1.0000 ; Source tokens/s 13088 ; Perplexity 1615.08
[05/26/22 02:56:08 INFO] Epoch 1 ; Iteration 300/1147 ; Learning rate 1.0000 ; Source tokens/s 12516 ; Perplexity 1226.51
[05/26/22 02:56:33 INFO] Epoch 1 ; Iteration 350/1147 ; Learning rate 1.0000 ; Source tokens/s 12039 ; Perplexity 1066.21
[05/26/22 02:56:59 INFO] Epoch 1 ; Iteration 400/1147 ; Learning rate 1.0000 ; Source tokens/s 12355 ; Perplexity 867.61
[05/26/22 02:57:24 INFO] Epoch 1 ; Iteration 450/1147 ; Learning rate 1.0000 ; Source tokens/s 12198 ; Perplexity 770.15
[05/26/22 02:57:50 INFO] Epoch 1 ; Iteration 500/1147 ; Learning rate 1.0000 ; Source tokens/s 11997 ; Perplexity 696.43
[05/26/22 02:58:16 INFO] Epoch 1 ; Iteration 550/1147 ; Learning rate 1.0000 ; Source tokens/s 12682 ; Perplexity 638.05
[05/26/22 02:58:42 INFO] Epoch 1 ; Iteration 600/1147 ; Learning rate 1.0000 ; Source tokens/s 12764 ; Perplexity 591.51
[05/26/22 02:59:08 INFO] Epoch 1 ; Iteration 650/1147 ; Learning rate 1.0000 ; Source tokens/s 11296 ; Perplexity 531.25
[05/26/22 02:59:34 INFO] Epoch 1 ; Iteration 700/1147 ; Learning rate 1.0000 ; Source tokens/s 12086 ; Perplexity 518.09
[05/26/22 03:00:01 INFO] Epoch 1 ; Iteration 750/1147 ; Learning rate 1.0000 ; Source tokens/s 12135 ; Perplexity 475.87
[05/26/22 03:00:26 INFO] Epoch 1 ; Iteration 800/1147 ; Learning rate 1.0000 ; Source tokens/s 11992 ; Perplexity 445.22
[05/26/22 03:00:50 INFO] Epoch 1 ; Iteration 850/1147 ; Learning rate 1.0000 ; Source tokens/s 11291 ; Perplexity 406.87
[05/26/22 03:01:16 INFO] Epoch 1 ; Iteration 900/1147 ; Learning rate 1.0000 ; Source tokens/s 12541 ; Perplexity 402.97
